page_type,input_count,button_count,link_count,form_count,image_count,heading_count,list_count,table_count,password_fields,email_inputs,checkbox_count,radio_count,search_box_present,navbar_present,footer_present,sidebar_present,modal_present,aria_labels_count,aria_buttons_count,aria_roles_count,login_keyword_count,register_keyword_count,search_keyword_count,cart_keyword_count,checkout_keyword_count,payment_keyword_count,profile_keyword_count,add_to_cart_keyword_count,avg_form_size,max_form_size,submit_button_count,title_length,visible_text_length
PRODUCT,3,3,10,3,13,10,0,0,0,0,2,0,0,1,1,0,0,5,3,2,0,0,0,0,0,0,0,2,2.0,2,1,49,679
CHECKOUT,23,4,17,3,7,4,1,1,0,0,3,3,1,0,1,0,0,4,1,3,0,0,0,0,8,0,0,0,10.33,12,2,26,94
PRODUCT,2,12,15,0,13,9,2,0,0,0,2,0,1,1,1,1,0,7,2,2,0,0,1,0,0,0,0,3,0.0,0,2,48,271
SETTINGS,6,8,21,2,7,6,0,0,0,0,9,6,0,1,1,1,0,8,2,0,0,0,0,1,0,0,0,0,10.5,11,0,36,255
HOME,3,3,73,2,28,16,1,1,0,0,0,1,1,1,1,1,0,6,2,5,0,0,1,0,0,0,0,0,2.0,2,0,50,906
CART,5,6,23,0,6,2,2,1,0,0,0,0,0,0,1,0,0,3,0,6,0,1,2,6,3,0,0,0,0.0,0,1,46,412
UNKNOWN,8,2,25,0,11,6,1,0,0,0,2,0,1,1,1,1,0,4,1,7,0,0,0,0,0,0,0,0,0.0,0,0,45,591
LOGIN,2,4,11,2,11,1,1,0,1,1,1,1,1,0,1,0,0,7,1,5,4,0,1,0,0,0,0,0,2.5,3,1,23,200
SETTINGS,4,10,30,5,14,6,1,0,0,0,11,8,0,1,1,0,1,2,2,2,0,0,0,0,0,0,1,0,4.6,7,0,16,264
PAYMENT,11,3,16,1,11,6,1,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,11,0,0,14.0,19,2,30,464
REGISTER,5,4,3,1,7,5,3,0,1,1,3,1,0,0,1,0,0,4,3,6,0,9,0,2,0,0,0,1,10.0,10,1,29,212
CHECKOUT,14,3,23,2,9,4,1,0,0,0,1,3,0,0,0,0,0,4,2,4,0,0,0,0,5,1,0,0,10.0,14,2,45,192
PRODUCT,3,7,15,1,23,10,1,0,0,0,0,1,0,1,1,0,0,4,1,1,0,0,0,0,0,0,0,4,7.0,12,3,35,1606
ERROR,0,0,5,0,0,7,1,0,0,0,1,0,1,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0.0,0,1,13,49
PROFILE,8,3,22,3,9,7,1,1,0,0,2,1,0,1,1,1,0,5,2,4,0,0,1,1,0,0,3,0,5.0,8,4,34,448
CHECKOUT,15,5,32,1,11,5,2,0,0,0,0,2,0,0,1,0,0,10,3,6,0,0,0,0,3,0,1,1,18.0,28,1,35,323
ERROR,0,0,3,1,1,11,1,0,0,0,2,0,0,1,0,0,0,4,0,2,0,1,0,2,0,0,0,1,3.0,4,1,11,75
LOGIN,2,2,10,1,6,7,1,1,2,1,3,0,0,0,1,0,0,5,1,1,4,0,0,2,0,1,0,0,6.0,10,1,33,201
CART,6,7,22,4,9,4,3,1,0,0,0,1,0,1,1,1,0,4,0,3,0,0,0,7,4,0,0,0,2.75,3,4,38,331
REGISTER,11,2,4,3,9,3,0,0,1,1,1,0,0,1,1,0,0,4,0,1,0,6,1,0,0,0,0,0,4.33,7,1,34,218
SETTINGS,6,10,18,2,14,4,1,0,0,0,12,4,0,1,1,1,0,5,2,1,0,0,1,0,0,0,0,0,11.5,19,1,22,380
REGISTER,9,4,5,1,11,7,3,0,1,1,1,0,0,1,1,0,0,5,2,0,0,6,0,0,0,1,0,0,11.0,14,1,21,151
REGISTER,9,3,5,2,10,3,1,0,1,1,1,0,0,1,1,1,0,5,2,5,0,6,0,0,1,0,0,0,5.5,7,1,42,163
PAYMENT,12,4,18,1,12,2,2,1,0,0,2,0,0,0,0,0,0,2,2,1,0,0,2,0,0,9,0,0,14.0,22,0,47,344
PAYMENT,11,2,12,3,11,4,1,0,0,0,0,1,0,0,0,0,0,5,1,3,0,0,0,0,0,7,0,0,4.0,4,0,36,229
ERROR,1,0,3,0,1,4,1,1,0,0,1,1,0,1,1,0,0,6,0,7,0,1,1,0,0,1,0,0,0.0,0,2,17,62
CHECKOUT,14,1,18,1,15,5,3,0,0,0,2,3,0,0,0,0,0,7,1,4,0,0,0,0,8,0,1,0,20.0,24,1,37,314
SEARCH,4,3,67,1,17,10,9,0,0,0,2,0,1,0,1,0,1,5,3,1,0,0,10,0,0,0,0,0,6.0,6,0,46,796
LOGIN,3,1,8,1,1,6,4,0,2,1,2,0,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,0,6.0,10,1,30,76
CHECKOUT,17,3,20,2,16,2,2,2,0,0,0,5,0,0,0,0,0,2,5,2,2,0,1,0,6,0,0,0,11.5,12,1,59,277
HOME,9,4,71,1,31,11,0,0,0,0,0,0,1,1,1,0,0,5,2,3,2,0,1,0,0,0,0,1,10.0,17,1,33,253
PAYMENT,12,2,16,2,13,6,2,0,0,0,1,1,0,0,0,0,1,6,1,4,0,0,0,0,0,15,0,0,7.0,7,0,43,155
PAYMENT,5,2,25,1,9,6,4,0,0,0,2,0,0,0,0,1,0,3,3,4,0,0,1,0,0,6,0,0,7.0,7,0,34,264
HOME,2,4,70,2,21,18,0,0,0,0,2,2,1,1,1,0,0,4,5,6,1,0,2,0,0,0,0,0,3.5,4,1,33,970
REGISTER,6,3,10,3,6,8,2,0,2,1,3,2,0,1,1,0,0,6,1,6,0,5,2,0,0,0,0,0,4.0,5,1,36,94
CART,3,7,11,0,6,7,1,1,0,0,3,0,0,1,1,1,0,8,3,1,0,0,0,12,3,1,0,0,0.0,0,2,48,376
REGISTER,5,0,9,1,10,4,1,3,1,1,2,1,0,1,1,0,0,4,1,6,0,4,0,1,0,1,0,0,9.0,14,1,33,182
REGISTER,9,3,4,1,7,6,5,1,1,1,3,2,0,1,1,1,0,7,5,1,1,9,0,0,1,0,0,0,15.0,18,1,27,217
CHECKOUT,12,2,21,2,15,7,4,0,0,0,0,6,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,9.5,14,1,34,323
REGISTER,5,3,8,2,8,5,4,1,1,1,3,0,0,1,1,0,0,2,0,2,0,8,0,0,0,0,0,0,4.5,7,1,25,176
UNKNOWN,9,3,24,2,15,3,2,0,0,0,2,1,0,1,1,1,0,3,2,2,0,1,1,1,0,0,0,0,7.0,8,2,40,527
PAYMENT,9,3,22,1,11,5,2,0,0,0,1,0,1,0,0,0,0,5,2,4,0,0,0,0,0,11,0,0,11.0,11,1,28,113
REGISTER,10,4,3,2,8,2,1,1,1,1,1,0,0,1,1,0,0,3,2,2,0,5,0,0,0,0,1,0,6.0,6,1,34,314
HOME,10,0,72,0,33,17,2,0,0,0,0,2,1,1,1,1,0,8,4,3,2,1,0,0,0,0,0,0,0.0,0,1,31,816
PRODUCT,2,7,15,2,17,16,2,1,0,0,2,0,0,0,1,1,0,10,2,2,0,0,2,0,0,0,0,2,2.0,3,0,35,767
HOME,4,3,79,1,28,12,1,2,0,0,1,1,0,1,1,1,0,5,2,3,2,0,4,1,0,0,0,1,6.0,6,0,32,1154
CHECKOUT,15,1,27,1,9,4,3,1,0,0,0,6,0,0,0,0,0,2,4,2,0,0,1,0,5,0,1,0,21.0,30,0,40,347
PAYMENT,7,4,35,2,11,7,2,2,0,0,1,2,0,0,0,0,0,8,2,3,0,0,0,0,0,13,0,1,5.5,8,1,42,98
